Topic,LocationAbbr,DataValue
Chronic Kidney Disease,CA,8485.4
Chronic Kidney Disease,TX,6768.15
Chronic Kidney Disease,FL,4764.3
Chronic Kidney Disease,NY,4206.75
Chronic Kidney Disease,IL,2962.8
Chronic Kidney Disease,GA,2689.9
Chronic Kidney Disease,OH,2673.4
Chronic Kidney Disease,PA,2637.45
Chronic Kidney Disease,NC,2357.3
Chronic Kidney Disease,MI,2168.5
Chronic Kidney Disease,NJ,2127.85
Chronic Kidney Disease,VA,1919.7
Chronic Kidney Disease,TN,1680.3
Chronic Kidney Disease,AZ,1649.35
Chronic Kidney Disease,IN,1534.65
Chronic Kidney Disease,MD,1473.9
Chronic Kidney Disease,LA,1421.35
Chronic Kidney Disease,MO,1420.6
Chronic Kidney Disease,AL,1408.45
Chronic Kidney Disease,SC,1393.9
Chronic Kidney Disease,WA,1235.35
Chronic Kidney Disease,KY,1130.25
Chronic Kidney Disease,WI,1111.25
Chronic Kidney Disease,MS,1100.6
Chronic Kidney Disease,MA,1075.4
Chronic Kidney Disease,OK,1049.7
Chronic Kidney Disease,AR,889.0
Chronic Kidney Disease,MN,884.05
Chronic Kidney Disease,NV,780.65
Chronic Kidney Disease,CT,741.1
Chronic Kidney Disease,CO,731.45
Chronic Kidney Disease,OR,706.3
Chronic Kidney Disease,WV,655.65
Chronic Kidney Disease,HI,652.2
Chronic Kidney Disease,KS,628.4
Chronic Kidney Disease,IA,610.95
Chronic Kidney Disease,NM,586.7
Cancer,PR,494.98333333333335
Chronic Kidney Disease,UT,443.85
Chronic Kidney Disease,NE,420.0
Chronic Kidney Disease,SD,405.9
Chronic Kidney Disease,DC,390.75
Chronic Kidney Disease,DE,385.5
Chronic Kidney Disease,ID,345.55
Chronic Kidney Disease,ND,306.0
Chronic Kidney Disease,ME,300.75
Chronic Kidney Disease,RI,296.75
Chronic Kidney Disease,MT,272.4
Chronic Kidney Disease,NH,237.95
Chronic Kidney Disease,WY,193.55
Chronic Kidney Disease,AK,180.2
Chronic Kidney Disease,VT,154.35
